username;;date;;retweets;;favorites;;text;;geo;;mentions;;hashtags;;id;;permalink
katefcollinss;;2014-08-22 23:50;;1;;5;;"I LOVE FUNNY PEOPLE";;;;;;;;"502966056772575232";;https://twitter.com/katefcollinss/status/502966056772575232
narreola32;;2014-08-22 23:49;;0;;5;;"There are a lot of manly females at frontier";;;;;;;;"502965749615304704";;https://twitter.com/narreola32/status/502965749615304704
nexydre;;2014-08-22 23:48;;2;;2;;"Sally told me I was yelling the Pokemon theme song while karate chopping the air in my sleep last night. No punchline. @xSallyyyy";;;;@xSallyyyy;;;;"502965669785513984";;https://twitter.com/nexydre/status/502965669785513984
kaybeebaybee_;;2014-08-22 23:47;;1;;3;;"@noellebean you owe sacramento a show!!!";;;;@noellebean;;;;"502965406860988416";;https://twitter.com/kaybeebaybee_/status/502965406860988416
HokutoAndy;;2014-08-22 23:45;;3;;3;;""Super street fighter 2 is when the style became coherent" -Ikeno presenting @GoudaCheeeeese artworkpic.twitter.com/8seM0oNZk8";;;;@GoudaCheeeeese;;;;"502964775576682496";;https://twitter.com/HokutoAndy/status/502964775576682496
kenZieberliN;;2014-08-22 23:45;;2;;10;;"guyyz im in thispic.twitter.com/xsSrkEM7Vt";;;;;;;;"502964756794200064";;https://twitter.com/kenZieberliN/status/502964756794200064
_Andrew_98;;2014-08-22 23:44;;2;;5;;"Dont be "too cool" for school spirit guys come on";;;;;;;;"502964644869201920";;https://twitter.com/_Andrew_98/status/502964644869201920
oneaaaallll;;2014-08-22 23:43;;0;;6;;"been only three months of having braces and theyre already straightpic.twitter.com/q0GAsUhdkJ";;;;;;;;"502964427524567040";;https://twitter.com/oneaaaallll/status/502964427524567040
nikkibellee_x;;2014-08-22 23:42;;2;;8;;"She would have a Harry styles notebookpic.twitter.com/adgOkkJjcS";;;;;;;;"502964011231494144";;https://twitter.com/nikkibellee_x/status/502964011231494144
LJames408;;2014-08-22 23:42;;4;;3;;"All I want is 100 million dollars & a bad bitch";;;;;;;;"502963936472211456";;https://twitter.com/LJames408/status/502963936472211456
