username;;date;;retweets;;favorites;;text;;geo;;mentions;;hashtags;;id;;permalink
earthquakesSF;;2018-11-06 19:30;;3;;11;;"A 2.6 magnitude earthquake occurred 1.86mi ESE of San Leandro, CA. Details: http://eqbot.com/YkY Map:http://eqbot.com/Yk9";;;;;;;;"1059890666744963072";;https://twitter.com/earthquakesSF/status/1059890666744963072
dibull;;2018-11-06 18:44;;0;;15;;"Hit my 10-year mark at @playstation a couple of months back. So proud of all the successful campaigns and learning opportunities I’ve been afforded. Here’s to the future! @Sony… https://www.instagram.com/p/Bp2XFX8gyDh/?utm_source=ig_twitter_share&igshid=gb2plspr5ovw …";;;;@playstation @Sony;;;;"1059879135529652224";;https://twitter.com/dibull/status/1059879135529652224
Catfish_Man;;2018-11-06 18:19;;1;;4;;"Multiple people at my polling place sad they didn’t get to vote for @JaniceForBART because it turns out supervisor district 8 and bart district 8 aren’t the same thing";;;;@JaniceForBART;;;;"1059872921563217920";;https://twitter.com/Catfish_Man/status/1059872921563217920
1jorgemaravilla;;2018-11-06 23:16;;0;;7;;"This mornings run was a little different. I was pensive on my opportunity to rock the vote and celebrate freedom. I’m a proud naturalized US Citizen and today my voice was heard-GO… https://www.instagram.com/p/Bp22RzNBQ-d/?utm_source=ig_twitter_share&igshid=ooq0i5ihkrek …";;;;;;;;"1059947738522103811";;https://twitter.com/1jorgemaravilla/status/1059947738522103811
JamieLissow;;2018-11-06 23:10;;0;;10;;"Just got to Reno. I’m already down $5 and all I did was buy a water at the airport. Headed to the Laugh Factory for lots of shows. http://www.laughfactory.com/clubs/reno @Reno-Tahoe… https://www.instagram.com/p/Bp21j62hjqm/?utm_source=ig_twitter_share&igshid=uamp6pun6p9s …";;;;@Reno;;;;"1059946163078660097";;https://twitter.com/JamieLissow/status/1059946163078660097
KeithMuhammad;;2018-11-06 22:52;;1;;1;;"Posted withrepost • @Mosque46 @louisfarrakhan CLEARLY destroys the decades old lie that he called Judaism a “Gutter Religion!” Which he DID NOT! Listen for yourself and share this clip!… https://www.instagram.com/p/Bp2zjfMnfz3/?utm_source=ig_twitter_share&igshid=qtln76djyr2g …";;;;@Mosque46 @louisfarrakhan;;;;"1059941747286073345";;https://twitter.com/KeithMuhammad/status/1059941747286073345
sallyclawson;;2018-11-06 22:43;;0;;4;;"Like a boss #vote @San Francisco, California https://www.instagram.com/p/Bp2yeU1hZGW/?utm_source=ig_twitter_share&igshid=17y5rvfo5wu2a …";;;;@San;;#vote;;"1059939376996777991";;https://twitter.com/sallyclawson/status/1059939376996777991
AnonymousTalent;;2018-11-06 22:20;;1;;3;;"When the odds are not in your favor, don’t think that God has abandoned you. Your money, your success, and even people you thought were friends may disappear, but those wouldn’t win the… https://www.instagram.com/p/Bp2vyonhS9J/?utm_source=ig_twitter_share&igshid=1uimniii6qg9w …";;;;;;;;"1059933475715858433";;https://twitter.com/AnonymousTalent/status/1059933475715858433
omaha_stylee_;;2018-11-06 22:02;;0;;4;;"Crisp with a fantastic view and weather for sure - Drinking an Animal IPA by @fortpointbeer @Joinery —http://untp.beer/s/c672796063";;;;@fortpointbeer @Joinery;;;;"1059928928750592000";;https://twitter.com/omaha_stylee_/status/1059928928750592000
SFRunCo;;2018-11-06 20:52;;0;;7;;"NIKE TRAIL x SFRC 2018 Holiday Apparel release this Sunday 11/11 at SFRC San Anselmo! All-levels trail run (multiple distances) at 8:30am from the shop followed by 'Nike Waffle' waffles… https://www.instagram.com/p/Bp2lygjBAb7/?utm_source=ig_twitter_share&igshid=1cquxaitvmzi9 …";;;;;;;;"1059911485886029826";;https://twitter.com/SFRunCo/status/1059911485886029826
SniperNamedG;;2018-11-06 20:33;;0;;6;;"My boy @Manny_Soles and I at the Golden Gate Bridge. @Golden Gate Bridge https://www.instagram.com/p/Bp2jl0FnDYg/?utm_source=ig_twitter_share&igshid=15undoec5b8l2 …";;;;@Manny_Soles @Golden;;;;"1059906647785537536";;https://twitter.com/SniperNamedG/status/1059906647785537536
