username;;date;;retweets;;favorites;;text;;geo;;mentions;;hashtags;;id;;permalink
dkrumlauf;;2011-11-19 22:42;;0;;0;;"I'm at Dallas/Fort Worth International Airport (DFW) (3200 E Airfield Dr., International Pkwy., Grapevine) http://4sq.com/sG5ggl";;;;;;;;"138024381199810560";;https://twitter.com/dkrumlauf/status/138024381199810560
jiggyjaguar;;2011-11-19 22:39;;0;;0;;"Getting ready to interview the legendary Billy Dean wow listening to sound check and he is the man http://4sq.com/vLGSho";;;;;;;;"138023500408569856";;https://twitter.com/jiggyjaguar/status/138023500408569856
adamdonaghey;;2011-11-19 22:38;;0;;0;;"I donated the cost of the bag to charity by getting a token; but what about the token! (@Buffalo Exchange) http://4sq.com/rugVqG";;;;@Buffalo;;;;"138023408645574657";;https://twitter.com/adamdonaghey/status/138023408645574657
CaitlinnMariiee;;2011-11-19 22:38;;0;;1;;"@Douglasbeezy I love you. #nolie.";;;;@Douglasbeezy;;#nolie;;"138023371177852928";;https://twitter.com/CaitlinnMariiee/status/138023371177852928
dmarie224;;2011-11-19 22:23;;1;;0;;"@GregCurtiss I'm sure one of them would bring you food ;) #cougars";;;;@GregCurtiss;;#cougars;;"138019704836075520";;https://twitter.com/dmarie224/status/138019704836075520
DBIFoodie;;2011-11-19 22:21;;0;;0;;"Lighting of the Square sponsored by @cox communications and Harrison French & Associates http://ow.ly/i/lF5c (@Bentonville square)...";;;;@cox @Bentonville;;;;"138018976004440064";;https://twitter.com/DBIFoodie/status/138018976004440064
geoffryken;;2011-11-19 22:17;;0;;0;;"Can't believe @sarah_hays doesn't have any candy in her candy bowl. :) (@First Presbyterian Church) http://4sq.com/vjWANI";;;;@sarah_hays @First;;;;"138018189496954881";;https://twitter.com/geoffryken/status/138018189496954881
micahlaney;;2011-11-19 22:17;;0;;0;;"Not sure what's going on. (@Malco Razorback Cinema for The Twilight Saga: Breaking Dawn - Part 1 w/ 4 others) http://4sq.com/sXriqv";;;;@Malco;;;;"138018129598103552";;https://twitter.com/micahlaney/status/138018129598103552
judtravis;;2011-11-19 22:05;;0;;0;;"Not sure why Boy Meets World is trending but I used to look like the guy on there. Actually, I probably still do.";;;;;;;;"138015043601178624";;https://twitter.com/judtravis/status/138015043601178624
Z_Killler;;2011-11-19 21:56;;1;;0;;"the weather right now >";;;;;;;;"138012921778274304";;https://twitter.com/Z_Killler/status/138012921778274304
samfarris;;2011-11-19 21:56;;0;;0;;"Getting ready for Taylor's first basketball game. Go LCS 4th Grade Girls! (@Bishop Kelley High School) http://4sq.com/s8AiQB";;;;@Bishop;;;;"138012725266747392";;https://twitter.com/samfarris/status/138012725266747392
brandonbakr;;2011-11-19 21:16;;0;;0;;"I'm at Penn Square Mall (1901 Northwest Expressway, N Pennsylvania Ave, Oklahoma City) w/ 4 others http://4sq.com/usc4aW";;;;;;;;"138002725752422401";;https://twitter.com/brandonbakr/status/138002725752422401
ShawttyBADD_2;;2011-11-19 21:16;;2;;0;;"Missions Tonight With My Girls @Akey_ThaBoss @Kaylun1";;;;@Akey_ThaBoss @Kaylun1;;;;"138002666159734784";;https://twitter.com/ShawttyBADD_2/status/138002666159734784
ppadley;;2011-11-19 20:41;;0;;0;;"Nicole + Ben Wedding @German American Society of Tulsa http://instagr.am/p/U2ztc/";;;;@German;;;;"137993961770979328";;https://twitter.com/ppadley/status/137993961770979328
andy813;;2011-11-19 20:38;;2;;1;;"Thanks for all of the @crosschurch volunteers for making the 20th year BB assembly a great success. #blessingbaskets";;;;@crosschurch;;#blessingbaskets;;"137993150865211392";;https://twitter.com/andy813/status/137993150865211392
pinson12_2010;;2011-11-19 20:32;;1;;1;;"Go Hogs....";;;;;;;;"137991570992529409";;https://twitter.com/pinson12_2010/status/137991570992529409
Sydney98Jane;;2011-11-19 20:18;;0;;1;;"It is such an honor to have people fighting for us and for our freedom! I'm thankful for our soldiers! Come home safely! Thanks for our life";;;;;;;;"137988241801494529";;https://twitter.com/Sydney98Jane/status/137988241801494529
nathanharvey_;;2011-11-19 20:16;;1;;0;;"Dad: "is this Adele?" while listening to an Usher song on the radio. can't make that up";;;;;;;;"137987732617166848";;https://twitter.com/nathanharvey_/status/137987732617166848
BroadwayBound1;;2011-11-19 20:01;;1;;0;;"I'm at the @walton_arts getting ready to see @RockOfAges on tour at good old Fayetteville. I've heard great things! Expectations are high!";;;;@walton_arts @RockOfAges;;;;"137983827409768449";;https://twitter.com/BroadwayBound1/status/137983827409768449
GabyGnazzo;;2011-11-19 19:56;;0;;1;;"sparkling tshirts!!! Yeahhhh!!!!";;;;;;;;"137982670809473024";;https://twitter.com/GabyGnazzo/status/137982670809473024
KansasCR;;2011-11-19 19:56;;2;;0;;"#KFTR Convention: Chair @PajeRouthier and Vice Chair @JBrandonWest are speakers. #ksfcr http://4sq.com/sbyfh8";;;;@PajeRouthier @JBrandonWest;;#KFTR #ksfcr;;"137982560230834176";;https://twitter.com/KansasCR/status/137982560230834176
Dallas_TX75241;;2011-11-19 19:47;;1;;0;;"I'm calling hoes out like the umpire. http://myloc.me/nAnlh";;;;;;;;"137980248385011712";;https://twitter.com/Dallas_TX75241/status/137980248385011712
adamdonaghey;;2011-11-19 19:42;;1;;0;;"BUCKAROO BANZAI Q&A w/ Peter Weller; moderated by @Dallas_Observer's Robert Wilonsky; presented by @DALLASFilm [pic]: http://4sq.com/sxVtPK";;;;@Dallas_Observer @DALLASFilm;;;;"137979143852789760";;https://twitter.com/adamdonaghey/status/137979143852789760
