username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
bbcweather;2017-09-10 11:52;105;137;"Hurricane #Irma is now moving close to the #Florida Keys, with sustained winds around 130mph. Ben R pic.twitter.com/A6v88BOIPo";;;#Irma #Florida;"906847754026188800";https://twitter.com/bbcweather/status/906847754026188800
EdTommasi;2017-09-10 11:48;65;99;"My cousin is in the Florida Keys. Couldn't get him to leave. Starting to look bad. #HurrcaneIrmapic.twitter.com/8jkJ8sByUW";;;#HurrcaneIrmapic;"906846717366226944";https://twitter.com/EdTommasi/status/906846717366226944
JoAnnaLGarcia;2017-09-10 11:38;12;300;"Praying for my home state of Florida as #Irma bears down on the Keys. Please be safe everyone!";;;#Irma;"906844221839216641";https://twitter.com/JoAnnaLGarcia/status/906844221839216641
BreakingNLive;2017-09-10 11:35;42;30;"BREAKING NEWS: Current scene in Florida as #Irma's eye hits Florida keys. pic.twitter.com/73vzbPAsG5";;;#Irma;"906843594430062592";https://twitter.com/BreakingNLive/status/906843594430062592
CBSNews;2017-09-10 11:32;311;302;"A man in the Florida Keys was seen being knocked down by powerful waves caused by Hurricane Irma as it moved towards the state: pic.twitter.com/ICA9BsRG4y";;;;"906842797407395840";https://twitter.com/CBSNews/status/906842797407395840
TwoTermDonald;2017-09-10 11:23;242;121;"Brave young man periscoping from #KeyWest Key West Florida #Irma making U. S. Landfall!! Please RT & https://www.pscp.tv/w/bIPGjTFYSlFra1pkVnpNUUx8MWpNSmdQT3ZPTmt4TL3kPPoacIjGKa-77K4ZvmkG2bT7dabQLrRlypPdsux9 …";;;#KeyWest #Irma;"906840664226242565";https://twitter.com/TwoTermDonald/status/906840664226242565
washingtonpost;2017-09-10 11:19;70;175;""I’m a scientist. I’m staying behind in the Florida Keys to help save lives." http://wapo.st/2eW9NZC via @PostEverything";;@PostEverything;;"906839432719892481";https://twitter.com/washingtonpost/status/906839432719892481
cnnbrk;2017-09-10 11:18;340;676;"CNN’s @BillWeirCNN gets slammed in Key Largo by #HurricaneIrma’s wind gusts as the storm’s eyewall reaches the Florida Keys pic.twitter.com/8ZglgxHPtc";;@BillWeirCNN;#HurricaneIrma;"906839220236550145";https://twitter.com/cnnbrk/status/906839220236550145
spectatorindex;2017-09-10 11:17;171;119;"BREAKING: Hurricane Irma has struck Florida Keys";;;;"906839082029813763";https://twitter.com/spectatorindex/status/906839082029813763
TwitterMoments;2017-09-10 11:13;734;1187;"The northern eyewall of Hurricane Irma, a Category 4 storm, has reached the lower Florida Keys. https://twitter.com/i/moments/906476411288014848 …";;;;"906838033835728896";https://twitter.com/TwitterMoments/status/906838033835728896
coolcam101;2017-09-10 11:10;52;182;"This is Kent Brockman reporting live from the Florida Keys. #HurrcaneIrma #SundayMorningpic.twitter.com/vKCV1VP06Z";;;#HurrcaneIrma #SundayMorningpic;"906837352726765568";https://twitter.com/coolcam101/status/906837352726765568
AP;2017-09-10 11:09;275;141;"Hurricane Irma's eyewall reaches Florida Keys; 430,000 without power across state. http://apne.ws/9yYIPPR";;;;"906836968897699840";https://twitter.com/AP/status/906836968897699840
NWSMiami;2017-09-10 11:06;145;118;"7:05 AM: Wind gusts across South #Florida and the Keys past hour. #flwx #HurricaneIrmapic.twitter.com/8EI0UZ6XiW";;;#Florida #flwx #HurricaneIrmapic;"906836283875459072";https://twitter.com/NWSMiami/status/906836283875459072
OfficialJoelF;2017-09-10 11:05;82;145;"Hurricane Irma’s eyewall has reached the lower Florida Keys. Keep those that stayed in your thoughts. pic.twitter.com/bWsHjE9LWn";;;;"906835968510103552";https://twitter.com/OfficialJoelF/status/906835968510103552
weatherchannel;2017-09-10 11:05;219;213;"Hurricane #Irma Hammers Florida Keys; Nearly 400,000 Lose Power http://wxch.nl/2wi25eW pic.twitter.com/YVLQSrfodu";;;#Irma;"906835921886109696";https://twitter.com/weatherchannel/status/906835921886109696
AP;2017-09-10 11:04;677;670;"BREAKING: Hurricane Irma's northern eyewall reaches the lower Florida Keys";;;;"906835831570214912";https://twitter.com/AP/status/906835831570214912
NHC_Atlantic;2017-09-10 11:01;1099;839;"NORTHERN EYEWALL OF HURRICANE #IRMA REACHES THE LOWER FLORIDA KEYS. EYE IS 15 MILES SOUTHEAST OF KEY WEST. http://WWW.HURRICANES.GOV";;;#IRMA;"906835034652516358";https://twitter.com/NHC_Atlantic/status/906835034652516358
NWSMiami;2017-09-10 10:50;191;118;"6:44 AM Radar loop shows eyewall of #HurricaneIrma moving into lower Keys. Strong rainbands continue to batter South #Florida. pic.twitter.com/Vh26fdASNb";;;#HurricaneIrma #Florida;"906832193065975809";https://twitter.com/NWSMiami/status/906832193065975809
CodyMatzFox9;2017-09-10 10:49;65;149;"Full force of Irma coming into the Florida Keys as the eye wall moves in... 130 mph sustained winds are in the there somewhere... pic.twitter.com/SqNWHpbpfK";;;;"906832055706705920";https://twitter.com/CodyMatzFox9/status/906832055706705920
KayaJones;2017-09-10 10:48;37;229;"Feel sick just watching #Irma over the Florida keys now. My old home. Incredible memories. Friends I made. God be with those who stayed.";;;#Irma;"906831810058788865";https://twitter.com/KayaJones/status/906831810058788865
